Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00108,C00499,"P00459,P00414,P00480,P00105,P00507",20/12/2025,TKO
INV00109,C00930,"P00318,P00455",30/09/2024,MK
INV00110,C00265,"P00117,P00096",28/01/2025,ST
INV00111,C00512,P00360,02/03/2024,MK
INV00112,C00538,"P00117,P00096,P00219,P00109",04/07/2024,CYB
INV00113,C00374,"P00248,P00214",16/01/2024,MK
INV00114,C00430,P00421,24/09/2025,MK
INV00115,C00381,"P00117,P00096,P00481,P00464",08/04/2025,MK
INV00116,C00747,"P00079,P00413,P00534",06/05/2025,TKO
INV00117,C00166,"P00117,P00096",20/03/2025,CYB
INV00118,C01051,"P00117,P00096,P00516,P00154",13/02/2025,ST
INV00119,C01044,"P00475,P00335,P00043",06/06/2025,TKO
INV00120,C00184,"P00056,P00021",31/03/2024,ST
INV00121,C01013,"P00274,P00071,P00440",27/11/2025,TKO
INV00122,C01080,"P00307,P00345,P00327,P00484",17/08/2024,MK
INV00123,C00498,"P00117,P00096,P00270,P00327",30/06/2024,TKO
INV00124,C00853,"P00218,P00473,P00253,P00475",02/07/2024,TKO
INV00125,C00845,"P00067,P00094",21/06/2025,TKO
INV00126,C00437,P00232,28/11/2024,CYB
INV00127,C00305,"P00080,P00196",08/02/2025,TKO
INV00128,C00550,"P00249,P00385,P00240",23/08/2025,MK
INV00129,C00320,"P00048,P00093",21/08/2024,TKO
INV00130,C00798,P00247,04/03/2025,MK
INV00131,C00201,"P00117,P00096,P00304",25/09/2025,TKO
INV00132,C00336,"P00117,P00096,P00252,P00499",18/04/2024,CYB
INV00133,C00221,"P00117,P00096",09/04/2024,ST
INV00134,C00450,"P00117,P00096",03/03/2025,CYB
INV00135,C00098,"P00158,P00333",17/09/2025,TKO
INV00136,C00743,"P00296,P00464",03/06/2025,ST
INV00137,C00307,"P00117,P00096,P00259",22/11/2024,MK
INV00138,C00746,"P00117,P00096",01/01/2025,MK
INV00139,C00766,"P00349,P00022,P00120,P00002,P00152",28/11/2025,TKO
INV00140,C00165,"P00183,P00005,P00052",11/11/2024,TKO
INV00141,C00548,"P00075,P00457,P00530",19/12/2025,MK
INV00142,C00448,"P00117,P00096,P00314,P00433",01/02/2024,CYB
INV00143,C01016,"P00529,P00175,P00485",21/09/2025,CYB
INV00144,C00739,"P00117,P00096,P00507",17/02/2025,CYB
INV00145,C00230,"P00176,P00029,P00245,P00359,P00251",01/07/2024,CYB
INV00146,C00309,"P00048,P00282,P00497",31/10/2024,ST
INV00147,C01079,"P00345,P00166",21/12/2024,MK
INV00148,C00525,"P00117,P00096,P00012",15/05/2024,TKO
INV00149,C00239,"P00275,P00086,P00502",17/02/2024,CYB
INV00150,C00926,"P00348,P00227",20/08/2024,MK
INV00151,C00370,P00155,02/02/2024,MK
INV00152,C00986,"P00117,P00096",27/06/2025,ST
INV00153,C00097,"P00359,P00229",30/08/2024,TKO
INV00154,C00338,"P00117,P00096,P00326,P00517",20/03/2025,MK
INV00155,C00161,"P00048,P00065,P00410,P00514",26/07/2024,MK
INV00156,C01123,"P00117,P00096,P00293",12/10/2024,TKO
INV00157,C00917,"P00333,P00146,P00112",19/03/2025,MK
INV00158,C00320,P00040,24/05/2024,MK
INV00159,C01134,"P00206,P00060,P00115,P00091,P00499",01/10/2024,MK
INV00160,C00858,"P00117,P00096",11/06/2025,CYB
INV00161,C00465,"P00117,P00096,P00326,P00302",29/09/2024,MK
INV00162,C00009,"P00175,P00028,P00262,P00492,P00247",08/12/2025,CYB
INV00163,C00779,"P00345,P00495,P00400,P00398,P00059",26/07/2024,MK
INV00164,C01091,P00304,25/11/2025,MK
INV00165,C00772,"P00328,P00300,P00014",13/07/2024,TKO
INV00166,C00238,"P00117,P00096,P00124,P00081",19/04/2025,CYB
INV00167,C00634,"P00365,P00299,P00472,P00363,P00093",26/01/2024,MK
INV00168,C00552,"P00477,P00139,P00412,P00299,P00361",28/10/2024,CYB
INV00169,C00648,"P00117,P00096,P00305",31/01/2024,TKO
INV00170,C01137,"P00261,P00113",15/05/2024,MK
INV00171,C00532,"P00529,P00087,P00349",24/04/2025,TKO
INV00172,C00734,"P00180,P00074,P00278,P00385",31/05/2024,CYB
INV00173,C00413,"P00137,P00133,P00148,P00518",14/01/2025,CYB
INV00174,C00951,"P00117,P00096,P00450",15/05/2025,TKO
INV00175,C00925,"P00117,P00096",08/03/2025,CYB
INV00176,C00027,"P00366,P00299,P00431,P00487",24/09/2024,TKO
INV00177,C01017,P00094,27/12/2024,MK
INV00178,C00004,"P00534,P00535",19/10/2024,CYB
INV00179,C00138,"P00463,P00126,P00355",29/07/2024,MK
INV00180,C00750,P00210,18/10/2025,TKO
INV00181,C00480,"P00171,P00415,P00004",04/08/2025,TKO
INV00182,C00191,"P00247,P00369,P00059,P00278,P00525",14/06/2024,MK
INV00183,C00866,"P00196,P00027,P00355,P00075,P00164",05/07/2025,CYB
INV00184,C00529,"P00117,P00096,P00311",19/01/2024,CYB
INV00185,C00672,"P00013,P00332,P00414,P00021,P00317",31/12/2024,ST
INV00186,C00988,"P00117,P00096,P00471,P00220",24/08/2024,TKO
INV00187,C01009,"P00489,P00083",10/10/2024,MK
INV00188,C01065,"P00420,P00453",08/02/2024,TKO
INV00189,C00746,"P00117,P00096,P00393",26/04/2025,CYB
INV00190,C01126,"P00254,P00469",25/01/2024,TKO
INV00191,C00073,"P00117,P00096,P00100",04/05/2025,TKO
INV00192,C00029,"P00117,P00096",10/09/2025,MK
INV00193,C01058,"P00268,P00055,P00531",05/11/2024,TKO
INV00194,C00464,P00495,15/03/2024,TKO
INV00195,C00853,"P00167,P00060,P00166,P00018",17/11/2024,MK
INV00196,C00770,"P00519,P00270",01/12/2024,TKO
INV00197,C00160,P00027,13/01/2025,TKO
INV00198,C00445,"P00121,P00244,P00503,P00341",01/04/2025,MK
INV00199,C00154,"P00350,P00013",18/01/2024,TKO
INV00200,C00823,"P00130,P00297,P00312,P00230,P00108",11/12/2024,TKO
INV00201,C00040,"P00117,P00096",18/01/2024,CYB
INV00202,C00023,"P00511,P00499,P00535",04/01/2024,TKO
INV00203,C00747,"P00094,P00176,P00155,P00193",03/07/2025,MK
INV00204,C00031,"P00068,P00496,P00295,P00411,P00448",26/05/2024,MK
INV00205,C00593,"P00523,P00488",08/04/2024,TKO
INV00206,C01031,"P00117,P00096,P00487,P00113",26/05/2024,TKO
INV00207,C00957,"P00277,P00315,P00025,P00167",02/04/2025,TKO
INV00208,C00784,"P00117,P00096,P00282",16/07/2024,MK
INV00209,C00031,"P00044,P00063,P00039,P00461",08/02/2024,MK
INV00210,C00398,"P00056,P00291,P00505,P00212",27/03/2024,CYB
INV00211,C00265,"P00094,P00155,P00343,P00222,P00481",20/10/2024,TKO
INV00212,C00387,"P00117,P00096,P00317,P00253",31/03/2024,TKO
INV00213,C00819,P00183,26/12/2025,TKO
INV00214,C01020,"P00105,P00228,P00191,P00227,P00261",16/09/2024,MK
INV00215,C00683,"P00351,P00269",18/12/2024,TKO
INV00216,C00378,"P00117,P00096,P00184",12/03/2025,CYB
INV00217,C00266,"P00501,P00282,P00451,P00532,P00472",12/04/2025,MK
INV00218,C00768,"P00117,P00096",07/06/2024,MK
INV00219,C00226,"P00117,P00096,P00283,P00002",27/09/2025,TKO
INV00220,C00909,"P00379,P00452",01/01/2024,CYB
INV00221,C00484,"P00117,P00096,P00181",02/05/2025,ST
INV00222,C00526,"P00117,P00096,P00439",13/02/2024,CYB
INV00223,C00800,"P00370,P00337",30/11/2024,CYB
INV00224,C00049,"P00157,P00432,P00463",17/03/2025,TKO
INV00225,C01013,"P00333,P00300,P00090,P00162",22/06/2024,ST
INV00226,C00331,"P00117,P00096,P00034,P00173",06/03/2024,TKO
INV00227,C00482,"P00377,P00138,P00513",08/04/2025,CYB
INV00228,C01098,P00298,02/05/2025,ST
INV00229,C00991,"P00117,P00096",20/07/2024,CYB
INV00230,C00035,P00441,12/09/2025,TKO
INV00231,C01089,"P00076,P00458,P00230",12/07/2025,TKO
INV00232,C00995,P00522,14/12/2024,CYB
INV00233,C00172,P00466,08/11/2024,TKO
INV00234,C00394,"P00310,P00076,P00061",25/07/2025,TKO
INV00235,C00646,"P00174,P00222",03/11/2024,CYB
INV00236,C00532,"P00117,P00096",26/05/2025,TKO
INV00237,C00799,"P00437,P00481,P00431",25/07/2024,TKO
INV00238,C00232,"P00117,P00096,P00426",23/03/2025,TKO
INV00239,C00106,"P00174,P00407,P00312",25/09/2024,TKO
INV00240,C01057,"P00117,P00096,P00038,P00186",25/11/2025,CYB
INV00241,C00380,"P00050,P00259,P00040",15/03/2025,TKO
INV00242,C00888,"P00117,P00096,P00462",01/11/2024,TKO
INV00243,C00869,"P00138,P00235,P00267",13/11/2025,CYB
INV00244,C00214,"P00375,P00477,P00036,P00444,P00516",03/12/2024,TKO
INV00245,C00029,"P00117,P00096,P00450",27/08/2025,ST
INV00246,C00540,"P00521,P00272,P00076,P00523",24/08/2024,ST
INV00247,C01036,"P00455,P00481,P00125,P00502,P00347",23/03/2024,MK
INV00248,C00669,"P00117,P00096,P00089,P00342",10/07/2025,ST
INV00249,C00463,"P00117,P00096,P00270,P00498",01/04/2024,TKO
INV00250,C00264,"P00117,P00096,P00075,P00294",22/05/2024,ST
INV00251,C00583,"P00107,P00328,P00075,P00097,P00456",14/08/2025,CYB
INV00252,C00741,"P00471,P00519,P00442,P00156,P00509",17/09/2024,TKO
INV00253,C00723,"P00414,P00330,P00309,P00321,P00188",12/08/2025,MK
INV00254,C00967,"P00056,P00439,P00159,P00030",03/03/2024,CYB
INV00255,C00125,"P00102,P00222,P00499",07/05/2024,TKO
INV00256,C00955,"P00117,P00096,P00451,P00321",24/03/2024,TKO
INV00257,C00591,"P00087,P00104",18/06/2024,ST
INV00258,C00336,"P00307,P00140,P00394",26/07/2024,ST
INV00259,C00921,P00206,24/04/2024,MK
INV00260,C01108,"P00536,P00449,P00210,P00355",06/07/2025,MK
INV00261,C00581,P00049,01/10/2025,ST
INV00262,C00175,"P00312,P00261,P00467",25/01/2025,ST
INV00263,C00471,"P00134,P00219",15/03/2024,CYB
INV00264,C00854,P00409,25/07/2025,ST
INV00265,C01120,"P00207,P00528",27/04/2024,TKO
INV00266,C00817,"P00154,P00469,P00280",16/08/2024,TKO
INV00267,C00158,"P00116,P00130",31/01/2024,MK
INV00268,C01098,"P00252,P00016,P00180,P00324",23/01/2025,ST
INV00269,C00169,P00498,16/06/2025,MK
INV00270,C00253,"P00117,P00096,P00436",03/04/2025,TKO
INV00271,C00847,"P00055,P00150,P00393,P00101",03/10/2025,CYB
INV00272,C00602,"P00117,P00096,P00323,P00334",14/08/2025,CYB
INV00273,C00207,"P00117,P00096,P00171",16/04/2024,ST
INV00274,C00777,"P00385,P00485,P00457",07/12/2024,TKO
INV00275,C01000,"P00117,P00096",13/08/2025,TKO
INV00276,C00874,"P00338,P00050,P00538,P00114",05/10/2025,ST
INV00277,C00316,"P00117,P00096",25/08/2024,ST
INV00278,C00439,P00086,13/05/2024,CYB
INV00279,C00599,"P00325,P00450,P00202",13/02/2025,CYB
INV00280,C01034,"P00105,P00053,P00094,P00352,P00447",22/03/2024,TKO
INV00281,C01069,"P00117,P00096",30/08/2024,MK
INV00282,C00859,"P00359,P00491,P00049,P00482,P00072",07/12/2025,TKO
INV00283,C01067,"P00022,P00397,P00445,P00147",07/09/2025,MK
INV00284,C00622,"P00008,P00425,P00155,P00520,P00277",29/02/2024,ST
INV00285,C00723,"P00169,P00303,P00228",10/11/2025,TKO
INV00286,C00157,P00075,25/01/2025,TKO
INV00287,C01125,"P00378,P00326,P00091,P00307",22/12/2025,ST
INV00288,C00666,"P00117,P00096",19/08/2024,CYB
INV00289,C00203,"P00384,P00471,P00325,P00364,P00155",04/02/2025,MK
INV00290,C00866,"P00192,P00084,P00529",20/08/2024,TKO
INV00291,C00105,"P00029,P00411,P00168,P00231",11/11/2025,MK
INV00292,C00182,"P00076,P00440,P00228",23/03/2025,ST
INV00293,C00716,P00101,04/11/2025,TKO
INV00294,C00321,"P00004,P00429,P00047",08/09/2025,TKO
INV00295,C00597,"P00312,P00295,P00380,P00149,P00529",20/05/2024,MK
INV00296,C00088,"P00532,P00291",04/11/2025,TKO
INV00297,C00291,"P00277,P00016,P00409,P00479,P00361",05/11/2024,ST
INV00298,C00026,"P00117,P00096",18/07/2025,TKO
INV00299,C00528,"P00277,P00201,P00178,P00320,P00142",04/02/2024,MK
INV00300,C00052,"P00370,P00181,P00230,P00286,P00390",25/02/2025,MK
INV00301,C00239,"P00091,P00482,P00274,P00016",07/10/2025,TKO
INV00302,C00763,P00328,20/05/2025,MK
INV00303,C00329,"P00318,P00050,P00513,P00026,P00275",01/02/2024,MK
INV00304,C01027,"P00316,P00058,P00422,P00057,P00110",12/05/2025,CYB
INV00305,C01023,"P00361,P00141",08/01/2025,MK
INV00306,C00355,"P00055,P00007,P00345",29/10/2024,TKO
INV00307,C00199,"P00056,P00076",15/09/2025,CYB
INV00308,C00957,P00372,19/05/2024,TKO
INV00309,C00200,"P00437,P00193,P00187,P00200",10/06/2024,TKO
INV00310,C00624,"P00431,P00486,P00304",03/06/2024,CYB
INV00311,C00331,"P00117,P00096,P00079",16/10/2024,CYB
INV00312,C00331,"P00498,P00437",14/09/2024,MK
INV00313,C00843,"P00411,P00143",22/11/2025,TKO
INV00314,C00571,P00179,21/05/2025,TKO
INV00315,C00098,"P00121,P00372,P00131,P00194",05/02/2025,TKO
INV00316,C00669,"P00206,P00325,P00132",06/12/2025,TKO
INV00317,C00869,"P00117,P00096",08/04/2025,TKO
INV00318,C00368,P00346,18/11/2024,TKO
INV00319,C00766,"P00117,P00096,P00427,P00467",01/09/2024,TKO
INV00320,C00767,"P00470,P00015,P00443",07/06/2024,TKO
INV00321,C00186,"P00117,P00096,P00470",14/05/2025,TKO
INV00322,C00862,"P00117,P00096,P00451,P00387",14/01/2024,TKO
INV00323,C00406,P00385,10/11/2025,CYB
INV00324,C00610,"P00117,P00096,P00035,P00133",09/04/2024,CYB
INV00325,C00189,"P00505,P00215,P00168,P00296,P00230",06/01/2025,TKO
INV00326,C00974,"P00011,P00480,P00004,P00273",04/07/2024,CYB
INV00327,C00247,"P00440,P00210,P00119,P00367,P00236",09/03/2024,TKO
INV00328,C00363,"P00201,P00158",25/06/2024,TKO
INV00329,C01023,P00494,23/02/2024,TKO
INV00330,C00572,"P00282,P00219,P00084,P00305",11/10/2025,CYB
INV00331,C00653,"P00386,P00326,P00424,P00072,P00037",08/02/2024,TKO
INV00332,C01046,"P00117,P00096,P00509",09/10/2025,CYB
INV00333,C00730,P00451,19/09/2024,CYB
INV00334,C00093,"P00340,P00057,P00521,P00435,P00200",15/06/2024,CYB
INV00335,C01024,"P00315,P00236",05/04/2025,CYB
INV00336,C01082,"P00323,P00208,P00152",04/06/2025,TKO
INV00337,C00506,P00397,26/01/2024,CYB
INV00338,C00143,"P00416,P00148,P00124,P00321",12/10/2025,CYB
INV00339,C00271,"P00117,P00096,P00465,P00535",13/11/2025,MK
INV00340,C01048,"P00117,P00096",06/09/2025,CYB
INV00341,C01098,"P00022,P00283,P00299,P00132,P00271",30/11/2024,MK
INV00342,C00639,P00370,07/10/2025,TKO
INV00343,C00529,"P00167,P00414",16/11/2025,ST
INV00344,C00114,P00150,05/02/2024,MK
INV00345,C00938,"P00365,P00455,P00452,P00422",05/10/2025,MK
INV00346,C00255,"P00117,P00096,P00179",20/08/2024,MK
INV00347,C00365,"P00125,P00536",05/07/2024,TKO
INV00348,C00156,"P00497,P00141,P00257,P00151,P00328",30/11/2025,TKO
INV00349,C00698,P00525,23/04/2025,TKO
INV00350,C00541,"P00117,P00096",17/09/2024,MK
INV00351,C00594,"P00408,P00463,P00173,P00454,P00218",19/01/2025,MK
INV00352,C01061,P00036,25/06/2024,TKO
INV00353,C00340,"P00026,P00423,P00263,P00053",16/03/2024,TKO
INV00354,C00690,"P00363,P00408,P00499,P00452",14/06/2025,MK
INV00355,C00952,"P00224,P00059,P00178,P00378",29/02/2024,MK
INV00356,C00620,"P00250,P00339,P00318,P00289,P00447",02/07/2024,ST
INV00357,C00128,"P00507,P00517",27/01/2025,ST
INV00358,C00509,"P00117,P00096,P00135,P00351",01/04/2025,MK
INV00359,C00974,P00435,04/03/2025,ST
INV00360,C00458,"P00355,P00145,P00229,P00407,P00348",29/08/2024,TKO
INV00361,C00539,"P00426,P00469",23/10/2024,MK
INV00362,C00826,"P00117,P00096,P00122",04/08/2024,MK
INV00363,C00157,P00427,19/10/2025,ST
INV00364,C00574,P00342,23/06/2024,TKO
INV00365,C00143,"P00117,P00096,P00296,P00187",02/10/2024,ST
INV00366,C00972,"P00412,P00191,P00151",06/05/2025,CYB
INV00367,C00999,"P00117,P00096,P00375",19/09/2024,MK
INV00368,C01060,"P00117,P00096,P00033",21/11/2025,MK
INV00369,C00292,P00372,28/07/2025,CYB
INV00370,C00834,"P00117,P00096,P00227",14/02/2025,CYB
INV00371,C00089,"P00117,P00096",01/09/2024,MK
INV00372,C00844,"P00117,P00096,P00276",02/08/2025,TKO
INV00373,C00797,"P00117,P00096",13/09/2025,TKO
INV00374,C00626,P00257,05/09/2025,CYB
INV00375,C00946,"P00407,P00215,P00018,P00196",28/11/2025,ST
INV00376,C00156,"P00415,P00525,P00135,P00247,P00236",21/12/2025,ST
INV00377,C00449,"P00139,P00461",20/05/2024,ST
INV00378,C00158,P00411,05/04/2025,TKO
INV00379,C01024,"P00117,P00096",27/06/2025,TKO
INV00380,C00102,"P00117,P00096",11/09/2025,ST
INV00381,C00818,"P00117,P00096,P00468",08/12/2024,MK
INV00382,C00181,"P00117,P00096,P00056",07/11/2025,TKO
INV00383,C00560,P00096,09/05/2025,TKO
INV00384,C00755,"P00213,P00092,P00013,P00128,P00435",24/01/2024,CYB
INV00385,C00221,"P00316,P00185,P00209,P00283",29/03/2025,TKO
INV00386,C00900,"P00117,P00096,P00520,P00535",22/07/2024,ST
INV00387,C00448,P00009,28/08/2025,CYB
INV00388,C00050,"P00136,P00113,P00051",30/12/2024,CYB
INV00389,C00993,"P00120,P00403,P00056",16/10/2024,CYB
INV00390,C00353,"P00462,P00025,P00515",13/12/2024,TKO
INV00391,C00999,"P00117,P00096,P00189",18/01/2024,TKO
INV00392,C00422,"P00171,P00382",05/10/2025,TKO
INV00393,C00678,"P00213,P00318",24/01/2025,MK
INV00394,C00037,"P00117,P00096",15/03/2025,MK
INV00395,C00922,"P00223,P00483",14/05/2024,TKO
INV00396,C01040,"P00038,P00373,P00501,P00136",23/01/2025,CYB
INV00397,C01089,"P00470,P00042,P00372,P00320,P00523",02/04/2025,TKO
INV00398,C00893,"P00162,P00405",26/02/2025,MK
INV00399,C00529,"P00117,P00096,P00465",04/01/2025,MK
INV00400,C00293,"P00039,P00177,P00460,P00268",07/04/2025,TKO
INV00401,C00104,P00383,30/07/2024,TKO
INV00402,C00764,"P00117,P00096",26/04/2024,MK
INV00403,C01037,"P00117,P00096,P00285",05/09/2024,TKO
INV00404,C00128,"P00117,P00096",29/09/2025,TKO
INV00405,C00271,P00274,31/12/2025,TKO
INV00406,C00226,"P00091,P00034,P00440,P00309,P00368",29/08/2024,ST
INV00407,C01105,"P00117,P00096,P00287,P00252",28/11/2025,CYB
INV00408,C00408,"P00400,P00256",23/09/2024,ST
INV00409,C00954,"P00117,P00096",14/10/2025,MK
INV00410,C00956,"P00117,P00096,P00150",21/05/2024,CYB
INV00411,C01012,"P00533,P00012,P00022,P00062,P00403",12/09/2025,CYB
INV00412,C00703,"P00117,P00096",07/03/2024,CYB
INV00413,C00489,"P00206,P00162,P00434",25/02/2025,TKO
INV00414,C00780,"P00117,P00096,P00335,P00170",30/01/2025,CYB
INV00415,C00319,"P00218,P00034,P00038",11/09/2025,TKO
INV00416,C00662,"P00096,P00314",03/06/2025,TKO
INV00417,C00367,"P00117,P00096,P00254",27/11/2025,TKO
INV00418,C00722,"P00284,P00487,P00166",12/12/2025,CYB
INV00419,C01098,"P00381,P00179",06/12/2024,TKO
INV00420,C00016,"P00076,P00326,P00375",29/05/2025,TKO
INV00421,C00222,"P00401,P00406,P00330,P00170",07/05/2025,ST
INV00422,C00514,"P00530,P00203,P00035",18/12/2025,MK
INV00423,C00735,"P00440,P00281",12/08/2025,CYB
INV00424,C00860,P00204,22/01/2025,TKO
INV00425,C00881,"P00117,P00096",15/06/2024,MK
INV00426,C00088,P00187,30/08/2024,CYB
INV00427,C01037,"P00117,P00096,P00418,P00521",15/05/2025,CYB
INV00428,C00583,P00505,12/07/2024,MK
INV00429,C00173,"P00333,P00176,P00324,P00331",10/10/2024,TKO
INV00430,C00289,"P00038,P00171,P00231,P00106,P00247",15/12/2024,TKO
INV00431,C00984,"P00117,P00096,P00380,P00523",29/10/2024,MK
INV00432,C00950,"P00537,P00367",28/04/2024,TKO
INV00433,C00135,"P00279,P00436,P00182,P00356,P00084",14/11/2025,TKO
INV00434,C00380,"P00254,P00061,P00285,P00198",07/09/2025,TKO
