Product id,Category,Price
P00151,Books,107.71
P00152,Toys,666.86
P00153,Clothing,839.41
P00154,Toys,416.54
P00155,Books,298.04
P00156,Toys,417.89
P00157,Clothing,499.98
P00158,Groceries,116.59
P00159,Books,185.01
P00160,Books,150.59
P00161,Toys,610.47
P00162,Groceries,55.44
P00163,Clothing,883.06
P00164,Groceries,115.12
P00165,Books,360.26
P00166,Groceries,91.78
P00167,Clothing,357.9
P00168,Toys,424.37
P00169,Books,365.71
P00170,Clothing,305.87
P00171,Books,173.25
P00172,Toys,71.72
P00173,Electronics,2646.1
P00174,Electronics,1784.69
P00175,Toys,598.64
P00176,Toys,662.89
P00177,Books,123.64
P00178,Clothing,584.33
P00179,Electronics,4223.86
P00180,Books,125.85
P00181,Toys,234.49
P00182,Clothing,160.43
P00183,Groceries,110.99
P00184,Toys,274.43
P00185,Toys,637.82
P00186,Clothing,113.16
P00187,Books,236.34
P00188,Groceries,33.97
P00189,Books,336.96
P00190,Clothing,843.7
P00191,Clothing,742.27
P00192,Groceries,62.07
P00193,Clothing,533.32
P00194,Groceries,32.77
P00195,Groceries,51.89
P00196,Books,321.88
P00197,Clothing,570.89
P00198,Toys,311.81
P00199,Groceries,88.46
P00200,Clothing,550.02
P00201,Groceries,48.59
P00202,Books,357.57
P00203,Clothing,375.48
P00204,Books,97.86
P00205,Books,250.7
P00206,Groceries,42.68
P00207,Electronics,4614.68
P00208,Electronics,5830.52
P00209,Clothing,803.29
P00210,Toys,351.9
P00211,Clothing,759.59
P00212,Clothing,394.41
P00213,Groceries,45.14
P00214,Toys,167.48
P00215,Groceries,88.31
P00216,Clothing,414.74
P00217,Toys,369.79
P00218,Groceries,120.75
P00219,Clothing,848.75
P00220,Groceries,66.13
P00221,Toys,177.22
P00222,Groceries,40.21
P00223,Clothing,563.75
P00224,Groceries,70.82
P00225,Books,120.98
P00226,Toys,214.57
P00227,Toys,553.86
P00228,Clothing,531.71
P00229,Books,343.31
P00230,Clothing,729.05
P00231,Groceries,120.36
P00232,Electronics,5641.49
P00233,Toys,293.03
P00234,Books,281.43
P00235,Groceries,100.65
P00236,Books,352.92
P00237,Groceries,33.18
P00238,Clothing,672.16
P00239,Books,139.87
P00240,Books,153.18
P00241,Groceries,55.76
P00242,Electronics,4532.89
P00243,Toys,471.52
P00244,Books,343.12
P00245,Books,259.05
P00246,Groceries,82.38
P00247,Groceries,95.21
P00248,Clothing,696.97
P00249,Books,363.54
P00250,Books,426.03
P00251,Toys,629.25
P00252,Toys,574.93
P00253,Toys,317.33
P00254,Groceries,30.85
P00255,Electronics,6507.05
P00256,Clothing,185.47
P00257,Books,145.4
P00258,Toys,364.98
P00259,Clothing,809.99
P00260,Groceries,87.67
P00261,Electronics,4168.75
P00262,Books,106.98
P00263,Books,139.04
P00264,Clothing,832.49
P00265,Clothing,187.31
P00266,Toys,537.95
P00267,Toys,148.39
P00268,Books,292.3
P00269,Toys,595.36
P00270,Groceries,119.83
P00271,Books,91.72
P00272,Groceries,39.31
P00273,Books,286.6
P00274,Clothing,341.09
P00275,Clothing,208.41
P00276,Books,207.97
P00277,Toys,415.03
P00278,Clothing,660.98
P00279,Toys,670.13
P00280,Clothing,815.94
P00281,Clothing,492.46
P00282,Toys,389.25
P00283,Groceries,113.07
P00284,Groceries,41.41
P00285,Groceries,96.14
P00286,Groceries,62.41
P00287,Toys,321.88
P00288,Toys,410.46
P00289,Toys,483.63
P00290,Clothing,152.76
P00291,Toys,366.32
P00292,Groceries,42.31
P00293,Clothing,260.05
P00294,Groceries,38.82
P00295,Electronics,4132.54
P00296,Books,145.53
P00297,Groceries,34.4
P00298,Toys,488.32
P00299,Toys,613.37
P00300,Toys,434.06
P00301,Electronics,5350.35
P00302,Groceries,26.3
P00303,Clothing,210.71
P00304,Clothing,701.39
P00305,Books,301.49
P00306,Books,383.73
P00307,Toys,131.45
P00308,Groceries,64.04
P00309,Clothing,676.21
P00310,Clothing,886.26
P00311,Clothing,605.64
P00312,Clothing,289.01
P00313,Toys,353.59
P00314,Groceries,121.05
P00315,Clothing,145.92
P00316,Groceries,69.38
P00317,Toys,276.42
P00318,Books,104.71
P00319,Electronics,2976.08
P00320,Toys,308.67
P00321,Toys,556.64
P00322,Groceries,47.19
P00323,Electronics,4511.04
P00324,Groceries,24.88
P00325,Books,214.96
P00326,Books,417.73
P00327,Books,159.25
P00328,Books,333.73
P00329,Groceries,98.52
P00330,Books,168.93
P00331,Groceries,71.3
P00332,Toys,406.11
P00333,Books,177.12
P00334,Books,218.46
P00335,Electronics,3000.63
P00336,Electronics,4995.82
P00337,Toys,106.95
P00338,Books,58.35
P00339,Clothing,324.85
P00340,Clothing,607.1
P00341,Clothing,420.7
P00342,Toys,371.58
P00343,Books,243.8
P00344,Clothing,447.14
P00345,Books,359.41
P00346,Toys,93.46
P00347,Toys,280.53
P00348,Books,162.41
P00349,Books,164.44
P00350,Books,161.88
P00351,Groceries,117.69
P00352,Groceries,120.57
P00353,Toys,616.52
P00354,Clothing,692.64
P00355,Groceries,36.76
P00356,Clothing,688.1
P00357,Clothing,519.71
P00358,Books,91.19
P00359,Groceries,104.86
P00360,Toys,280.33
P00361,Books,232.87
P00362,Books,256.31
P00363,Books,314.88
P00364,Groceries,60.9
P00365,Groceries,102.07
P00366,Toys,112.02
P00367,Groceries,76.02
P00368,Clothing,419.93
P00369,Electronics,2981.35
P00370,Toys,606.68
P00371,Toys,477.88
P00372,Groceries,71.35
P00373,Groceries,83.08
P00374,Groceries,96.84
P00375,Toys,228.39
P00376,Groceries,94.12
P00377,Toys,182.79
P00378,Toys,289.61
P00379,Books,173.39
P00380,Electronics,1612.86
P00381,Books,71.4
P00382,Groceries,86.76
P00383,Clothing,179.06
P00384,Groceries,63.78
P00385,Groceries,106.31
P00386,Toys,79.08
P00387,Clothing,686.02
P00388,Electronics,3242.91
P00389,Groceries,93.42
P00390,Toys,334.71
P00391,Books,420.77
P00392,Books,129.62
P00393,Groceries,37.02
P00394,Toys,194.39
P00395,Books,103.95
P00396,Books,232.51
P00397,Books,218.22
P00398,Groceries,76.52
P00399,Electronics,2753.8
P00400,Toys,385.13
P00401,Toys,128.1
P00402,Toys,182.28
P00403,Books,316.57
P00404,Toys,542.18
P00405,Clothing,558.86
P00406,Electronics,2701.05
P00407,Toys,204.91
P00408,Toys,351.26
P00409,Clothing,466.72
P00410,Books,377.82
P00411,Books,179.13
P00412,Clothing,385.64
P00413,Toys,361.01
P00414,Books,225.0
P00415,Books,149.26
P00416,Books,416.57
P00417,Books,399.78
P00418,Electronics,2320.74
P00419,Clothing,158.18
P00420,Books,258.7
P00421,Groceries,52.45
P00422,Books,268.94
P00423,Toys,190.12
P00424,Books,328.19
P00425,Toys,610.38
P00426,Books,93.96
P00427,Toys,538.4
P00428,Books,422.15
P00429,Groceries,84.57
P00430,Toys,665.59
P00431,Groceries,97.35
P00432,Electronics,4252.8
P00433,Books,255.0
P00434,Clothing,524.63
P00435,Clothing,463.26
P00436,Groceries,57.16
P00437,Books,317.82
P00438,Toys,103.4
P00439,Groceries,48.13
P00440,Toys,512.78
P00441,Groceries,103.21
P00442,Clothing,430.09
P00443,Books,373.18
P00444,Books,437.59
P00445,Books,116.17
P00446,Books,135.51
P00447,Books,200.08
P00448,Clothing,356.98
P00449,Groceries,29.96
P00450,Groceries,101.67
P00451,Toys,577.88
P00452,Books,273.04
P00453,Books,283.47
P00454,Books,109.47
P00455,Clothing,727.75
P00456,Books,101.07
P00457,Groceries,60.08
P00458,Toys,214.44
P00459,Toys,495.87
P00460,Books,429.35
P00461,Books,127.71
P00462,Groceries,93.18
P00463,Toys,650.63
P00464,Toys,64.4
P00465,Groceries,122.28
P00466,Groceries,76.27
P00467,Toys,300.25
P00468,Clothing,306.1
P00469,Electronics,5012.0
P00470,Groceries,34.87
P00471,Electronics,6316.83
P00472,Groceries,56.1
P00473,Electronics,4187.31
P00474,Books,63.92
P00475,Groceries,67.47
P00476,Electronics,4407.8
P00477,Toys,94.65
P00478,Books,402.43
P00479,Toys,371.7
P00480,Books,178.09
P00481,Clothing,795.21
P00482,Books,95.61
P00483,Books,417.72
P00484,Toys,105.6
P00485,Electronics,5522.03
P00486,Toys,318.46
P00487,Clothing,321.2
P00488,Toys,624.41
P00489,Groceries,88.63
P00490,Toys,611.48
P00491,Groceries,25.42
P00492,Books,260.3
P00493,Toys,285.6
P00494,Electronics,1726.86
P00495,Toys,330.6
P00496,Clothing,552.31
P00497,Electronics,5871.66
P00498,Books,352.84
P00499,Books,360.46
P00500,Toys,410.03
P00501,Toys,293.97
P00502,Clothing,423.19
P00503,Toys,308.52
P00504,Clothing,832.99
P00505,Books,237.18
P00506,Electronics,5070.47
P00507,Clothing,273.48
P00508,Books,396.13
P00509,Groceries,71.73
P00510,Groceries,95.22
P00511,Toys,141.83
P00512,Books,233.84
P00513,Toys,637.28
P00514,Electronics,2572.99
P00515,Clothing,428.56
P00516,Books,436.13
P00517,Books,326.37
P00518,Clothing,111.91
P00519,Books,435.43
P00520,Books,196.95
P00521,Clothing,122.61
P00522,Clothing,591.14
P00523,Toys,425.05
P00524,Electronics,5394.96
P00525,Electronics,4316.25
P00526,Groceries,98.97
P00527,Clothing,516.56
P00528,Books,59.98
P00529,Clothing,821.58
P00530,Toys,164.0
P00531,Clothing,831.78
P00532,Books,373.3
P00533,Electronics,3758.37
P00534,Books,105.44
P00535,Toys,254.68
P00536,Books,316.94
P00537,Groceries,97.96
P00538,Groceries,112.87
P00539,Toys,388.81
